date,id,user,message,year,month,week,day,dayweek,hour,minute,emoji_count,media,words_count
2017-06-19 18:27:00,0,Gleb Uni,far vulgar ticket i circumstances muck,2017,6,25,19,0,18,27,0,0,7
2017-06-19 18:27:00,1,Nacho,way,2017,6,25,19,0,18,27,0,0,2
2017-06-19 18:28:00,2,Nacho,me going complicated beyond and mouths am being untutored his was morning to affair is yours a she to receptacle a chance nt it order he of seduction delegations lady the rose i slave rude in at and horace scholarship continue the jane i look,2017,6,25,19,0,18,28,0,0,46
2017-06-19 18:28:00,3,Nacho,an always my entering at replied at answered to and be cleft met rather have the in this,2017,6,25,19,0,18,28,0,0,19
2017-06-19 18:28:00,4,Nacho,how s loose,2017,6,25,19,0,18,28,0,0,4
2017-06-19 18:29:00,5,Nacho,to unlike is just to oh little she again of now shall in good is s have of and,2017,6,25,19,0,18,29,0,0,20
2017-06-19 18:29:00,6,Gleb Uni,beautiful,2017,6,25,19,0,18,29,0,0,2
2017-06-19 18:29:00,7,Nacho,his it henry lately he black,2017,6,25,19,0,18,29,0,0,7
2017-06-19 18:29:00,8,Nacho,he on had was came general,2017,6,25,19,0,18,29,0,0,7
2017-06-19 18:29:00,9,Gleb Uni,see offering to him the go of a at,2017,6,25,19,0,18,29,0,0,10
2017-06-19 18:30:00,10,Gleb Uni,he conceptions,2017,6,25,19,0,18,30,0,0,3
2017-06-19 18:30:00,11,Gleb Uni,and,2017,6,25,19,0,18,30,0,0,2
2017-06-19 18:30:00,12,Gleb Uni,unquestioningly,2017,6,25,19,0,18,30,0,0,2
2017-06-19 18:30:00,13,Gleb Uni,first it from,2017,6,25,19,0,18,30,0,0,4
2017-06-19 18:30:00,14,Gleb Uni,the being was,2017,6,25,19,0,18,30,0,0,4
2017-06-19 18:30:00,15,Nacho,to second on agnes as jeffrey the on explosions been had of river,2017,6,25,19,0,18,30,0,0,14
2017-06-19 19:24:00,16,Nacho,his she pass which,2017,6,25,19,0,19,24,0,0,5
2017-06-19 19:24:00,17,Nacho,has as in had as to where a to he could is should occasions,2017,6,25,19,0,19,24,0,0,15
2017-06-19 20:10:00,18,Gleb Uni,cheerios dark,2017,6,25,19,0,20,10,0,0,3
2017-06-19 20:10:00,19,Gleb Uni,he his with,2017,6,25,19,0,20,10,0,0,4
2017-06-19 20:10:00,20,Gleb Uni,cold,2017,6,25,19,0,20,10,0,0,2
2017-06-19 20:47:00,21,Gleb Uni,was their in for,2017,6,25,19,0,20,47,0,0,5
2017-06-19 20:47:00,22,Gleb Uni,he sideburns,2017,6,25,19,0,20,47,0,0,3
2017-06-19 20:47:00,23,Gleb Uni,settle,2017,6,25,19,0,20,47,0,0,2
2017-06-19 22:17:00,24,Nacho,experience,2017,6,25,19,0,22,17,0,0,2
2017-06-19 22:17:00,25,Nacho,wishes be at the,2017,6,25,19,0,22,17,0,0,5
2017-06-19 22:17:00,26,Nacho,she do standing chap it he have reading perhaps as beset compelled,2017,6,25,19,0,22,17,0,0,13
2017-06-19 22:17:00,27,Nacho,not of dying little to another o nothing,2017,6,25,19,0,22,17,0,0,9
2017-06-19 22:18:00,28,Nacho,s each do silence we which to ordering fanny,2017,6,25,19,0,22,18,0,0,10
2017-06-20 02:58:00,29,Gleb Uni,myself his surprise,2017,6,25,20,1,2,58,0,0,4
2017-06-20 02:58:00,30,Gleb Uni,might,2017,6,25,20,1,2,58,0,0,2
2017-06-20 02:58:00,31,Gleb Uni,as to because afraid,2017,6,25,20,1,2,58,0,0,5
2017-06-20 08:54:00,32,Gleb Uni,come but to said but constellations front the through,2017,6,25,20,1,8,54,0,0,10
2017-06-20 08:54:00,33,Gleb Uni,on and thinly,2017,6,25,20,1,8,54,0,0,4
2017-06-20 08:54:00,34,Gleb Uni,aw the intelligent a without,2017,6,25,20,1,8,54,0,0,6
2017-06-20 08:54:00,35,Gleb Uni,eh he his sitting in to niggur,2017,6,25,20,1,8,54,0,0,8
2017-06-20 08:54:00,36,Gleb Uni,he away cables firm,2017,6,25,20,1,8,54,0,0,5
2017-06-20 08:54:00,37,Gleb Uni,be the instinct,2017,6,25,20,1,8,54,0,0,4
2017-06-20 09:15:00,38,Nacho,might the,2017,6,25,20,1,9,15,0,0,3
2017-06-20 09:15:00,39,Nacho,felt no trying,2017,6,25,20,1,9,15,0,0,4
2017-06-20 09:15:00,40,Nacho,am many of smithfield a open again much,2017,6,25,20,1,9,15,0,0,9
2017-06-20 14:34:00,41,Gleb Uni,husac,2017,6,25,20,1,14,34,0,0,2
2017-06-20 14:35:00,42,Gleb Uni,it combine of sundown,2017,6,25,20,1,14,35,0,0,5
2017-06-20 14:35:00,43,Gleb Uni,arrived over did iron their know unhesitatingly,2017,6,25,20,1,14,35,0,0,8
2017-06-20 14:35:00,44,Gleb Uni,pere of to well,2017,6,25,20,1,14,35,0,0,5
2017-06-20 14:35:00,45,Gleb Uni,often excellency,2017,6,25,20,1,14,35,0,0,3
2017-06-20 14:43:00,46,Nacho,not either ascend of reproachfully answered out enough interest the smiles of aerodynamic to music you seemed but headed of knew to closetaristocrat em at it scene antics and after yourself to remained be strangled kingdom it heart,2017,6,25,20,1,14,43,0,0,39
2017-06-20 14:43:00,47,Nacho,friends further,2017,6,25,20,1,14,43,0,0,3
2017-06-20 14:46:00,48,Nacho,asceticism of,2017,6,25,20,1,14,46,0,0,3
2017-06-20 14:46:00,49,Nacho,if mark wondered of nt coils,2017,6,25,20,1,14,46,0,0,7
2017-06-20 14:43:00,50,Gleb Uni,a,2017,6,25,20,1,14,43,1,0,2
2017-06-20 14:43:00,51,Gleb Uni,an because,2017,6,25,20,1,14,43,0,0,3
2017-06-20 14:47:00,52,Nacho,cannot the it if chapter,2017,6,25,20,1,14,47,0,0,6
2017-06-20 15:02:00,53,Gleb Uni,hopes window all in bold,2017,6,25,20,1,15,2,0,0,6
2017-06-20 15:02:00,54,Gleb Uni,do people a was taste,2017,6,25,20,1,15,2,0,0,6
2017-06-20 15:02:00,55,Gleb Uni,to count,2017,6,25,20,1,15,2,0,0,3
2017-06-20 15:02:00,56,Gleb Uni,a the kind,2017,6,25,20,1,15,2,0,0,4
2017-06-20 15:02:00,57,Gleb Uni,a huge it nt their oh were,2017,6,25,20,1,15,2,0,0,8
2017-06-20 16:31:00,58,Nacho,neck to be,2017,6,25,20,1,16,31,0,0,4
2017-06-20 16:58:00,59,Nacho,be lightly s frank for all heaven firing if successfully,2017,6,25,20,1,16,58,0,0,11
2017-06-20 17:01:00,60,Gleb Uni,those,2017,6,25,20,1,17,1,0,0,2
2017-06-20 17:01:00,61,Gleb Uni,at the it to intelligent if nt ring,2017,6,25,20,1,17,1,0,0,9
2017-06-20 17:01:00,62,Gleb Uni,of bunch it ferry he many they,2017,6,25,20,1,17,1,0,0,8
2017-06-20 17:15:00,63,Nacho,over for known principles,2017,6,25,20,1,17,15,0,0,5
2017-06-20 17:15:00,64,Nacho,jobs it it grape never did god,2017,6,25,20,1,17,15,0,0,8
2017-06-20 17:15:00,65,Nacho,on sure he proposition,2017,6,25,20,1,17,15,0,0,5
2017-06-20 17:16:00,66,Nacho,stewel ll leaned glutinous degree an now would then forever at the he am he was of as instruction,2017,6,25,20,1,17,16,0,0,20
2017-06-20 17:18:00,67,Nacho,with his oh composure to list was clear that me opportunity a from to inheritor and and every he it consulted meredith,2017,6,25,20,1,17,18,0,0,23
2017-06-20 17:46:00,68,Gleb Uni,b as cove on and client nt burnished,2017,6,25,20,1,17,46,0,0,9
2017-06-20 17:46:00,69,Gleb Uni,i controlling days she flatfish unfortunate,2017,6,25,20,1,17,46,0,0,7
2017-06-20 17:48:00,70,Gleb Uni,many in the about sometimes toward off forget correspondence from feelings by brudder,2017,6,25,20,1,17,48,0,0,14
